Serial Number,Basin of origin,Name,Date,Time,Latitude,Longitude,CI No,Estimated Central Pressure (hPa),Maximum Sustained Surface Wind (kt),Pressure_drop_(hPa),Grade,outermost_closed_isobar_(hPa),diameter_size_of_outermost_closed_isobar,Year,Unnamed: 15,Unnamed: 16
1.0,BOB,,1982-05-01 00:00:00,300,14.0,82.5,1.5,,25,3,D,,,1982,,
1.0,BOB,,1982-05-01 00:00:00,600,14.5,82.5,2.0,,30,5,DD,,,1982,,
1.0,BOB,,1982-05-01 00:00:00,1200,15.0,82,2.5,,35,6,CS,,,1982,,
1.0,BOB,,1982-05-01 00:00:00,1800,15.5,82.5,2.5,,40,8,CS,,,1982,,
1.0,BOB,,1982-05-02 00:00:00,0,16.0,83,3.0,,45,10,CS,,,1982,,
1.0,BOB,,1982-05-02 00:00:00,300,16.5,83.5,3.0,,45,10.04265026780401,CS,,,1982,,
1.0,BOB,,1982-05-02 00:00:00,600,16.5,84,3.5,,50,12.39833366395557,SCS,,,1982,,
1.0,BOB,,1982-05-02 00:00:00,1200,16.5,84.5,3.5,,55,15.00198373338623,SCS,,,1982,,
1.0,BOB,,1982-05-02 00:00:00,1800,17.0,85,3.5,,55,15.00198373338623,SCS,,,1982,,
1.0,BOB,,1982-05-03 00:00:00,0,17.0,86,3.5,,60,17.85360047609601,SCS,,,1982,,
1.0,BOB,,1982-05-03 00:00:00,300,17.0,86.5,4.0,,65,20.9531838920849,VSCS,,,1982,,
1.0,BOB,,1982-05-03 00:00:00,600,17.5,87.5,4.5,,80,31.73973417972625,VSCS,,,1982,,
1.0,BOB,,1982-05-03 00:00:00,1200,17.5,88.5,5.0,,90,40.17060107121603,VSCS,,,1982,,
1.0,BOB,,1982-05-03 00:00:00,1800,17.5,90,5.5,,105,54.67665145804404,VSCS,,,1982,,
1.0,BOB,,1982-05-04 00:00:00,0,17.5,91,6.0,,115,65.58718508232494,VSCS,,,1982,,
1.0,BOB,,1982-05-04 00:00:00,300,17.5,91.5,6.0,,115,65.58718508232494,VSCS,,,1982,,
1.0,BOB,,1982-05-04 00:00:00,600,17.5,92,6.0,,115,65.58718508232494,VSCS,,,1982,,
1.0,BOB,,1982-05-04 00:00:00,1200,17.5,93.5,6.0,,115,65.58718508232494,VSCS,,,1982,,
1.0,BOB,,1982-05-04 00:00:00,1800,17.3,94.5,-,,115,65.58718508232494,VSCS,,,1982,,
1.0,BOB,,1982-05-05 00:00:00,300,17.2,98.5,-,,30,4.463400119024003,DD,,,1982,,
2.0,BOB,,1982-05-31 00:00:00,1200,14.5,91.5,1.5,990,25,3.099583415988891,D,,,1982,,
2.0,BOB,,1982-05-31 00:00:00,1800,19.0,91.3,2.0,988,30,4.463400119024003,DD,,,1982,,
2.0,BOB,,1982-06-01 00:00:00,0,15.5,91,2.5,986,35,6.075183495338227,CS,,,1982,,
2.0,BOB,,1982-06-01 00:00:00,300,16.0,91,2.5,984,40,7.934933544931562,CS,,,1982,,
2.0,BOB,,1982-06-01 00:00:00,600,16.5,91,2.5,984,40,7.934933544931562,CS,,,1982,,
2.0,BOB,,1982-06-01 00:00:00,1200,16.5,90.5,2.5,984,40,7.934933544931562,CS,,,1982,,
2.0,BOB,,1982-06-01 00:00:00,1800,17.0,90,2.5,984,40,7.934933544931562,CS,,,1982,,
2.0,BOB,,1982-06-02 00:00:00,0,19.0,88.5,2.5,984,40,7.934933544931562,CS,,,1982,,
2.0,BOB,,1982-06-02 00:00:00,300,17.5,89.5,3.0,982,45,10.04265026780401,CS,,,1982,,
2.0,BOB,,1982-06-02 00:00:00,600,17.5,89.5,3.5,982,45,10.04265026780401,CS,,,1982,,
2.0,BOB,,1982-06-02 00:00:00,1200,18.0,89,3.0,982,45,10.04265026780401,SCS,,,1982,,
2.0,BOB,,1982-06-02 00:00:00,1800,18.5,88.5,3.0,979,50,13,SCS,,,1982,,
2.0,BOB,,1982-06-03 00:00:00,0,19.0,88.5,3.5,976,55,16,SCS,,,1982,,
2.0,BOB,,1982-06-03 00:00:00,300,19.0,88,4.0,972,65,22,VSCS,,,1982,,
2.0,BOB,,1982-06-03 00:00:00,600,19.5,87.5,4.5,960,80,31.73973417972625,VSCS,,,1982,,
2.0,BOB,,1982-06-03 00:00:00,900,19.5,87.5,5.0,952,90,40.17060107121603,VSCS,,,1982,,
2.0,BOB,,1982-06-03 00:00:00,1200,20.0,87,5.0,952,90,40,VSCS,,,1982,,
2.0,BOB,,1982-06-03 00:00:00,1800,21.0,86.5,5.0,952,90,40.17060107121603,VSCS,,,1982,,
